"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school",
"0500000US25001","Barnstable County, Massachusetts","227136","685","36392","2297","2602","909","1993","693","1176","525","1218","671","2278","816","2083","811","2081","716","909","446","1813","632","2446","788","1404","616","1432","569","2215","790","2182","639","8466","1773","2094","979","190744","2079",
"0500000US25003","Berkshire County, Massachusetts","124230","672","23186","1460","1412","723","1429","777","595","319","817","532","1344","650","696","470","1136","439","1017","641","1221","607","1251","819","1270","542","1078","428","1769","1203","1679","640","5771","926","701","398","101044","1448",
"0500000US25005","Bristol County, Massachusetts","564792","1588","132358","4094","8435","1877","6130","1501","6401","1456","6054","1202","5658","1306","5951","1279","5622","1725","9268","1679","6833","1335","7519","1706","7736","1584","7780","1400","6408","1159","7178","1707","26634","2729","8751","1681","432434","3844",
"0500000US25009","Essex County, Massachusetts","783564","2060","181736","4296","12731","1989","8036","1562","8471","1491","10123","1783","10206","1863","9540","2038","7711","1526","9445","1726","7529","1703","12146","2067","9643","2095","9435","1593","10065","1693","12986","1806","33797","3019","9872","1415","601828","4267",
"0500000US25011","Franklin County, Massachusetts","69549","308","12981","770","1217","278","473","219","498","251","488","251","1051","421","294","196","723","280","1071","450","611","279","882","386","587","266","787","307","775","329","428","237","1805","566","1291","579","56568","800",
"0500000US25013","Hampden County, Massachusetts","448124","1762","107052","3703","8356","1967","4147","1161","4805","1407","7091","1660","5104","1377","4637","1445","3676","923","5032","1461","6324","1840","5784","1498","7382","1576","5744","1079","6006","1385","6479","1373","20055","2606","6430","1857","341072","3878",
"0500000US25015","Hampshire County, Massachusetts","159386","702","54283","2633","1379","448","1012","386","1084","559","1294","600","648","306","1133","424","1595","660","515","313","1061","470","1244","616","1141","530","1434","661","1649","569","2650","1275","32014","2723","4430","1574","105103","2636",
"0500000US25017","Middlesex County, Massachusetts","1573647","2735","400754","6588","22646","2432","19351","2162","15717","2097","17418","2496","15971","2013","18798","2022","18449","2214","16842","2011","19193","2346","18205","2348","17651","1898","20541","2168","21212","2536","22656","2759","86656","4496","49448","4334","1172893","6930",
"0500000US25021","Norfolk County, Massachusetts","706997","1626","174681","4881","13783","1819","6767","1221","7800","1624","8199","1461","7785","1485","8686","1868","8017","1712","8655","1569","8733","1668","9186","1730","8792","1718","7528","1350","11533","1577","9158","1817","35080","3206","14979","2082","532316","4842",
